,Brand_Name,Variant,Price,Manufacturing_Year,Fuel_type,Kms_run,Engine,Owner,Transmission,Mileage
3336,2015 Honda City,i VTEC V,"5,41,681",2015,Petrol,"78,296 Kms",1497 cc,2nd Owner,UP14,Comprehensive
3337,2011 Hyundai i10,Sportz 1.2,"2,51,286",2011,Petrol,"38,270 Kms",1197 cc,2nd Owner,Manual,22.7 kmpl
3338,2020 Datsun RediGO,A,"2,70,000",2019,Petrol,"15,598 Kms",799 cc,1st Owner,Manual,16.47 kmpl
3339,2011 Volkswagen Polo,Petrol Highline 1.2L,"2,71,500",2011,Petrol,"118,807 Kms",1198 cc,1st Owner,Manual,22.9 kmpl
3340,2013 Maruti Swift,VDI,"4,50,000",2013,Diesel,"99,877 Kms",1248 cc,1st Owner,Manual,21.21 kmpl
3341,2016 Maruti Swift,ZXI,"4,53,948",2015,Petrol,"52,655 Kms",1197 cc,1st Owner,Manual,22.54 kmpl
3342,2017 Hyundai i20,1.4 Asta Option,"6,55,500",2017,Diesel,"68,644 Kms",1396 cc,1st Owner,Automatic,23.84 kmpl
3343,2017 Tata Tiago,1.2 Revotron XZA,"4,50,000",2017,Petrol,"19,544 Kms",1199 cc,1st Owner,Manual,20.3 kmpl
3344,2019 Tata Tigor,XZ Plus,"5,50,500",2019,Petrol,"15,681 Kms",1199 cc,1st Owner,Manual,28.4 kmpl
3345,2017 Maruti Swift Dzire,ZDI Plus,"6,12,000",2017,Diesel,"71,549 Kms",1248 cc,1st Owner,Manual,26.59 kmpl
3346,2015 Maruti Swift Dzire,VDI,"4,17,000",2014,Diesel,"98,563 Kms",1248 cc,1st Owner,Manual,17.01 kmpl
3347,2016 Hyundai Verna,1.6 VTVT S,"6,37,000",2016,Petrol,"60,820 Kms",1591 cc,1st Owner,Manual,20 kmpl
3348,2019 Renault Triber,RXT,"5,09,500",2019,Petrol,"17,062 Kms",999 cc,1st Owner,Manual,23.84 kmpl
3349,2019 Tata Tiago,1.2 Revotron XT,"4,53,500",2019,Petrol,"24,973 Kms",1199 cc,1st Owner,Manual,18.5 kmpl
3350,2013 Hyundai i20,Magna Optional 1.2,"3,40,357",2013,Petrol,"54,952 Kms",1197 cc,1st Owner,Manual,19.05 kmpl
3351,2020 Tata Altroz,XE,"5,52,500",2020,Petrol,"3,199 Kms",1199 cc,1st Owner,Manual,20.77 kmpl
3352,2014 Maruti Ertiga,VDI,"5,37,000",2014,Diesel,"72,395 Kms",1248 cc,1st Owner,Manual,18.6 kmpl
3353,2019 Hyundai i20,Magna Plus BSIV,"6,17,000",2019,Petrol,"29,942 Kms",1197 cc,1st Owner,Manual,19.05 kmpl
3354,2020 Tata Altroz,XE,"5,52,500",2020,Petrol,"3,199 Kms",1199 cc,1st Owner,DL3C,Comprehensive
3355,2016 Maruti Celerio,VXI,"3,81,500",2016,Petrol,"48,964 Kms",998 cc,1st Owner,Manual,25.32 kmpl
3356,2016 Mahindra KUV 100,mFALCON D75 K8 5str AW,"3,97,000",2016,Diesel,"54,476 Kms",1198 cc,2nd Owner,Manual,19.1 kmpl
3357,2014 Maruti Swift Dzire,VXI,"4,16,500",2014,Petrol,"102,690 Kms",1197 cc,1st Owner,DL6C,Comprehensive
3358,2017 Maruti Celerio,VXI,"4,25,500",2016,Petrol,"15,785 Kms",998 cc,1st Owner,Manual,17 kmpl
3359,2016 Ford Ecosport,1.5 Petrol Titanium BSIV,"6,85,000",2015,Petrol,"32,345 Kms",1497 cc,1st Owner,Manual,25.2 kmpl
3360,2017 Maruti Swift,VDI Optional,"4,62,000",2016,Diesel,"60,637 Kms",1248 cc,1st Owner,Manual,23.59 kmpl
3361,2018 Toyota Etios Liva,1.4 VD,"5,37,500",2018,Diesel,"46,354 Kms",1364 cc,1st Owner,Manual,20.51 kmpl
3362,2013 Maruti Wagon R Stingray,VXI,"3,23,000",2013,Petrol,"55,675 Kms",998 cc,1st Owner,Manual,15.85 kmpl
3363,2018 Ford Ecosport,1.5 Ti VCT MT Ambiente BSIV,"7,43,820",2018,Petrol,"30,953 Kms",1499 cc,1st Owner,Manual,26.59 kmpl
3364,2015 Maruti Swift Dzire,VDI,"5,87,000",2015,Diesel,"25,433 Kms",1248 cc,1st Owner,Manual,32.26 kmpl
3365,2016 Maruti Alto K10,LXI CNG Optional,"3,25,500",2016,CNG,"55,252 Kms",998 cc,1st Owner,Manual,20.36 kmpl
3366,2012 Hyundai i10,Sportz 1.2,"2,85,500",2011,Petrol,"82,238 Kms",1197 cc,1st Owner,Automatic,18 kmpl
3367,2014 Honda City,i VTEC CVT VX,"6,46,500",2014,Petrol,"93,090 Kms",1497 cc,1st Owner,Manual,26 kmpl
3368,2014 Honda City,i DTEC SV,"5,24,500",2014,Diesel,"92,150 Kms",1498 cc,1st Owner,Manual,21.19 kmpl
3369,2016 Hyundai i20 Active,1.4 S,"4,71,000",2015,Diesel,"43,455 Kms",1396 cc,1st Owner,Manual,16.8 kmpl
3370,2015 Honda City,S,"6,00,000",2015,Petrol,"64,284 Kms",1497 cc,2nd Owner,Automatic,24.04 kmpl
3371,2020 Renault KWID,1.0 RXT AMT Opt BSIV,"4,30,374",2019,Petrol,"12,846 Kms",999 cc,1st Owner,Manual,27.28 kmpl
3372,2019 Tata Tiago,1.05 Revotorq XZ Plus,"4,89,500",2019,Diesel,"63,318 Kms",1047 cc,1st Owner,Manual,16.8 kmpl
3373,2015 Honda City,S,"6,00,000",2015,Petrol,"64,284 Kms",1497 cc,2nd Owner,Manual,27.28 kmpl
3374,2019 Tata Tiago,1.05 Revotorq XZ Plus,"4,89,500",2019,Diesel,"63,318 Kms",1047 cc,1st Owner,Automatic,18.49 kmpl
3375,2016 Mahindra TUV 300,T8 AMT,"5,51,000",2016,Diesel,"86,927 Kms",1493 cc,1st Owner,Manual,23.95 kmpl
