,Brand_Name,Variant,Price,Manufacturing_Year,Fuel_type,Kms_run,Engine,Owner,Transmission,Mileage
3482,2014 Honda City,i DTEC SV,"5,24,500",2014,Diesel,"92,150 Kms",1498 cc,1st Owner,Manual,21.19 kmpl
3483,2016 Hyundai i20 Active,1.4 S,"4,71,000",2015,Diesel,"43,455 Kms",1396 cc,1st Owner,Manual,16.8 kmpl
3484,2015 Honda City,S,"6,00,000",2015,Petrol,"64,284 Kms",1497 cc,2nd Owner,Automatic,24.04 kmpl
3485,2020 Renault KWID,1.0 RXT AMT Opt BSIV,"4,30,374",2019,Petrol,"12,846 Kms",999 cc,1st Owner,Manual,27.28 kmpl
3486,2019 Tata Tiago,1.05 Revotorq XZ Plus,"4,89,500",2019,Diesel,"63,318 Kms",1047 cc,1st Owner,Manual,16.8 kmpl
3487,2015 Honda City,S,"6,00,000",2015,Petrol,"64,284 Kms",1497 cc,2nd Owner,Manual,27.28 kmpl
3488,2019 Tata Tiago,1.05 Revotorq XZ Plus,"4,89,500",2019,Diesel,"63,318 Kms",1047 cc,1st Owner,Automatic,18.49 kmpl
3489,2016 Mahindra TUV 300,T8 AMT,"5,51,000",2016,Diesel,"86,927 Kms",1493 cc,1st Owner,Manual,23.95 kmpl
3490,2014 Maruti Alto K10,VXI,"2,85,468",2013,Petrol,"27,017 Kms",998 cc,1st Owner,Manual,21.1 kmpl
3491,2019 Hyundai EON,Magna Plus,"2,98,000",2018,Petrol,"31,472 Kms",814 cc,1st Owner,Automatic,20.89 kmpl
3492,2019 Maruti Ignis,1.2 AMT Delta BSIV,"6,48,000",2019,Petrol,"5,598 Kms",1197 cc,1st Owner,Manual,17.8 kmpl
